MassIncrementSpeed	TI.Q.Qspeed
ConstructWorkingVolume	TI.V.Vstr
VolumeAlarm	TI.V.Valm
VolumeIncrementSpeed	TI.V.Vspeed
Height	TI.H.Hstr
InitialTemperature	TI.Toil
HeightIncrementSpeed	TI.H.Hspeed
MassAlarm	TI.Q.Qalm
MassFree	TI.Q.Qfree
Status	State.Status
OilClass	State.OilType
CommercialMass	TI.Q.Qtovar
CurrentOilHeight	TI.H.Hoil
CurrentOilVolume	TI.V.Voil
CommercialVolume	TI.V.Vtovar
HeightAlarm	TI.H.Halm
HeightMax	TI.H.Hmax
HeightAlarmMax	TI.H.HalmMax
HeightNormativeMax	TI.H.HmaxNorm
HeightNormativeMin	TI.H.HminNorm
HeightAlarmMin	TI.H.HalmMin
HeightMin	TI.H.Hmin
MassMax	TI.Q.QoilMax
MassMin	TI.Q.QoilMin
MassNormativeMax	TI.Q.Qexp
MassNormativeMin	TI.Q.QTOTK
VolumeMax	TI.V.VoilMax
VolumeMin	TI.V.VoilMin
VolumeNormativeMax	TI.V.Vexp
VolumeNormativeMin	TI.V.VTOTK
CurrentOilDensity	TI.Ro
VolumeFree	TI.V.Vfree
Density_20	TI.RoNorm
